Species,Drug,Year,countries,n_total,n_above_ecoff,n_above_bp,pct_above_ecoff,pct_above_bp,pct_above_ecoff_lo,pct_above_ecoff_hi,pct_above_bp_lo,pct_above_bp_hi
Klebsiella pneumoniae,Ceftazidime avibactam,2013,39,3088,358,25,11.593264248704664,0.8095854922279793,10.511517196770864,12.770448208248956,0.5489757456184408,1.1924285125814802
Klebsiella pneumoniae,Ceftazidime avibactam,2014,38,4249,427,46,10.049423393739703,1.0826076723935043,9.18117920160123,10.98983980126967,0.8126558896603268,1.4409305595103132
Klebsiella pneumoniae,Ceftazidime avibactam,2015,34,3682,405,68,10.999456816947312,1.8468223791417708,10.029192645795023,12.051015304361556,1.4594660527173342,2.3345511447949323
Klebsiella pneumoniae,Ceftazidime avibactam,2016,32,4136,420,73,10.154738878143133,1.764990328820116,9.270862968966272,11.112561546548317,1.4061519680861678,2.2133455491781544
Klebsiella pneumoniae,Ceftazidime avibactam,2017,33,4208,475,79,11.288022813688213,1.8773764258555132,10.36699927938345,12.2796617629761,1.5090293113574929,2.3335051335645955
Klebsiella pneumoniae,Ceftazidime avibactam,2018,52,4303,860,209,19.986056239832674,4.857076458284918,18.8182225595317,21.20743139831608,4.254066188062146,5.540616594066626
Klebsiella pneumoniae,Ceftazidime avibactam,2019,51,5638,1056,321,18.730046115643844,5.693508336289464,17.733057846918456,19.76961702021553,5.118281787899977,6.32907034942317
Klebsiella pneumoniae,Ceftazidime avibactam,2020,56,6208,1283,423,20.66688144329897,6.813788659793815,19.677920122220332,21.692122494877843,6.213301037376196,7.4676897679177126
Klebsiella pneumoniae,Ceftazidime avibactam,2021,58,6574,1588,585,24.155765135381806,8.898691816245817,23.136372912061464,25.20534342037795,8.234207766238741,9.611182186822639
Klebsiella pneumoniae,Ceftazidime avibactam,2022,58,6139,1269,523,20.671119074767876,8.519302818048542,19.676639936050773,21.702280159156732,7.84664103854386,9.243844950040375
Klebsiella pneumoniae,Ceftazidime avibactam,2023,56,5072,1194,560,23.541009463722396,11.041009463722398,22.39372773557247,24.72834016637511,10.20781915072417,11.933169056614442
Klebsiella pneumoniae,Ceftazidime avibactam,2024,54,5292,1293,617,24.43310657596372,11.659108087679517,23.2942307497801,25.609073455202914,10.822113213904046,12.551725834071215
Klebsiella pneumoniae,Ceftriaxone,2004,24,830,268,213,32.28915662650602,25.662650602409638,29.196015835984646,35.545483055686475,22.808089182649347,28.74145351202798
Klebsiella pneumoniae,Ceftriaxone,2005,21,772,279,238,36.13989637305699,30.82901554404145,32.827412252044184,39.58963280696988,27.673149837498386,34.17472557123135
Klebsiella pneumoniae,Ceftriaxone,2006,40,1736,686,574,39.516129032258064,33.064516129032256,37.241952553456834,41.83660094608284,30.89103116617106,35.312786025393024
Klebsiella pneumoniae,Ceftriaxone,2007,37,2345,978,775,41.70575692963752,33.04904051172708,39.7252439879071,43.713399836299374,31.174261025808264,34.97926555579621
Klebsiella pneumoniae,Ceftriaxone,2008,41,3163,1526,1190,48.245336705659184,37.622510275055326,46.50711086125512,49.98781945201243,35.950233614361835,39.324815352201114
Klebsiella pneumoniae,Ceftriaxone,2009,45,3582,1676,1341,46.78950307091011,37.437185929648244,45.15979126081268,48.42609359658304,35.866561191231405,39.03472738118666
Klebsiella pneumoniae,Ceftriaxone,2010,42,2839,1435,1167,50.54596688974991,41.1060232476224,48.70735436092974,52.38310391643266,39.30932899074403,42.926753910288
