Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,2023.0,2022,0.0,1,-1.0
Klebsiella pneumoniae,Ceftazidime avibactam,Qatar,2019,,2019,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Romania,2015,,2014,,1,
Klebsiella pneumoniae,Ceftazidime avibactam,Russia,2018,2018.0,2016,0.0,2,-2.0
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,2021.0,2020,0.0,1,-1.0
Klebsiella pneumoniae,Ceftazidime avibactam,Thailand,2018,2017.0,2015,1.0,3,-2.0
Klebsiella pneumoniae,Ceftazidime avibactam,Turkey,2018,2018.0,2018,0.0,0,0.0
Klebsiella pneumoniae,Ceftazidime avibactam,Ukraine,2019,,2019,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,2020.0,2019,0.0,1,-1.0
Klebsiella pneumoniae,Ceftriaxone,Argentina,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Australia,2007,,2005,,2,
Klebsiella pneumoniae,Ceftriaxone,Austria,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Belgium,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Brazil,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Bulgaria,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Canada,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Chile,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,China,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Colombia,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Croatia,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Czech Republic,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Denmark,2007,,2007,,0,
Klebsiella pneumoniae,Ceftriaxone,Egypt,2011,,2011,,0,
Klebsiella pneumoniae,Ceftriaxone,El Salvador,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Finland,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,France,2005,,2004,,1,
Klebsiella pneumoniae,Ceftriaxone,Germany,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Greece,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Guatemala,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Honduras,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Hong Kong,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Hungary,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,India,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Ireland,2007,,2004,,3,
Klebsiella pneumoniae,Ceftriaxone,Israel,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Italy,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Jamaica,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Japan,2016,,2016,,0,
Klebsiella pneumoniae,Ceftriaxone,Jordan,2010,,2010,,0,
Klebsiella pneumoniae,Ceftriaxone,"Korea, South",2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Kuwait,2012,,2012,,0,
Klebsiella pneumoniae,Ceftriaxone,Latvia,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Lithuania,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Malaysia,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Mexico,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Morocco,2011,,2011,,0,
Klebsiella pneumoniae,Ceftriaxone,Namibia,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Netherlands,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Pakistan,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Panama,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Philippines,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Poland,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Portugal,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Puerto Rico,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Romania,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Russia,2016,,2016,,0,
Klebsiella pneumoniae,Ceftriaxone,Saudi Arabia,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Serbia,2017,,2017,,0,
Klebsiella pneumoniae,Ceftriaxone,Singapore,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Slovak Republic,2007,,2007,,0,
Klebsiella pneumoniae,Ceftriaxone,Slovenia,2007,,2006,,1,
Klebsiella pneumoniae,Ceftriaxone,South Africa,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Spain,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Sweden,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Switzerland,2009,,2008,,1,
Klebsiella pneumoniae,Ceftriaxone,Taiwan,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Thailand,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Tunisia,2011,,2011,,0,
Klebsiella pneumoniae,Ceftriaxone,Turkey,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,United Kingdom,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Venezuela,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Vietnam,2015,,2015,,0,
Klebsiella pneumoniae,Colistin,Argentina,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Brazil,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Bulgaria,2022,,2022,,0,
Klebsiella pneumoniae,Colistin,Chile,2024,,2022,,2,
Klebsiella pneumoniae,Colistin,Croatia,2021,,2019,,2,
Klebsiella pneumoniae,Colistin,Greece,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Guatemala,2022,,2022,,0,
Klebsiella pneumoniae,Colistin,Italy,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Jordan,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Kuwait,2021,,2018,,3,
Klebsiella pneumoniae,Colistin,Morocco,2024,,2023,,1,
Klebsiella pneumoniae,Colistin,Poland,2020,,2018,,2,
